metric_id|entity|dims|upper_range|lower_range
100003001|10500001|Attempted|131.0|-85.0
100003001|10500002|Attempted|1313.75|-944.25
100003001|10500004|Attempted|1265.25|-912.75
100003001|10500005|Attempted|548.0|-420.0
100003001|10500006|Attempted|24.5|-23.5
100003001|10500007|Attempted|414.25|-403.75
100003001|10500008|Attempted|168.0|-80.0
100003001|10500023|Attempted|45.25|-20.75
100003001|10500024|Attempted|33.75|-8.25
100003001|134500001|Attempted|2.75|-3.25
100003001|13750020|Attempted|6.0|2.0
100003001|13750045|Attempted|49.5|-14.5
100003001|13750046|Attempted|27.5|-0.5
100003001|13750049|Attempted|14.0|-10.0
100003001|13750050|Attempted|14.75|-3.25
100003001|13750054|Attempted|5.0|-3.0
100003001|13750055|Attempted|45.0|-43.0
100003001|13750057|Attempted|24.0|0.0
100003001|13750059|Attempted|3.0|-1.0
100003001|13750063|Attempted|11.5|-0.5
100003001|13750065|Attempted|14.25|-7.75
100003001|16250001|Attempted|19.0|-21.0
100003001|17000001|Attempted|27.0|27.0
100003001|180000001|Attempted|2.5|-1.5
100003001|180000002|Attempted|0.0|0.0
100003001|18750001|Attempted|-167.75|-313.75
100003001|190250001|Attempted|2.75|-3.25
100003001|22500001|Attempted|39.0|-113.0
100003001|238250001|Attempted|103.0|-81.0
100003001|248750005|Attempted|6503.25|-4686.75
100003001|280000001|Attempted|21.0|-7.0
100003001|280000002|Attempted|2.5|-1.5
100003001|28000001|Attempted|0.5|0.5
100003001|28500001|Attempted|26248.0|-19284.0
100003001|28500002|Attempted|428.5|-247.5
100003001|28500003|Attempted|180.5|-107.5
100003001|28500004|Attempted|1588.0|-668.0
100003001|28750001|Attempted|158.0|-122.0
100003001|28750002|Attempted|275.75|-214.25
100003001|28750011|Attempted|2.5|-1.5
100003001|28750012|Attempted|1.75|-4.25
100003001|28750013|Attempted|5.0|-3.0
100003001|28750014|Attempted|2.75|-3.25
100003001|28750015|Attempted|17.75|-16.25
100003001|29000001|Attempted|177.75|-124.25
100003001|29250001|Attempted|551.0|-229.0
100003001|29250003|Attempted|276.75|-257.25
100003001|29500001|Attempted|311.25|-242.75
100003001|29750001|Attempted|794.75|-515.25
100003001|29750002|Attempted|123.25|-154.75
100003001|315250001|Attempted|9.25|3.25
100003001|32250001|Attempted|2.5|-1.5
100003001|32250003|Attempted|18.0|-2.0
100003001|33750004|Attempted|-127.0|-335.0
100003001|352000002|Attempted|2.75|0.75
100003001|352000004|Attempted|0.75|-1.25
100003001|352000006|Attempted|11.5|-4.5
100003001|35750001|Attempted|2.5|-1.5
100003001|35750003|Attempted|20.0|-4.0
100003001|37500002|Attempted|2.5|-1.5
100003001|38750001|Attempted|2411.0|-157.0
100003001|38750002|Attempted|2411.0|-157.0
100003001|38750003|Attempted|3000.0|-48.0
100003001|423000001|Attempted|133.0|-55.0
100003001|42500002|Attempted|2.5|-1.5
100003001|48750001|Attempted|6.25|0.25
100003001|50000001|Attempted|4.0|0.0
100003001|50000003|Attempted|2.25|-11.75
100003001|50000004|Attempted|0.0|0.0
100003001|50250001|Attempted|0.0|0.0
100003001|50250002|Attempted|0.25|-1.75
100003001|50750001|Attempted|5.75|-8.25
100003001|51000002|Attempted|1.25|-0.75
100003001|53750005|Attempted|0.0|0.0
100003001|53750007|Attempted|0.25|-9.75
100003001|53750015|Attempted|0.0|0.0
100003001|53750017|Attempted|3.75|-2.25
100003001|54000005|Attempted|2.0|-6.0
100003001|54000006|Attempted|0.75|-5.25
100003001|54250004|Attempted|9.0|-7.0
100003001|54250006|Attempted|1.25|-0.75
100003001|54500007|Attempted|0.0|0.0
100003001|54750006|Attempted|0.0|-4.0
100003001|55000001|Attempted|-23.0|-91.0
100003001|55000002|Attempted|154.5|10.5
100003001|57250012|Attempted|56.75|-125.25
100003001|57250016|Attempted|4.75|-5.25
100003001|57250021|Attempted|19.0|-9.0
100003001|58250001|Attempted|0.5|-7.5
100003001|58250002|Attempted|0.0|0.0
100003001|58250023|Attempted|1.5|-2.5
100003001|58250027|Attempted|2.0|-2.0
100003001|58250035|Attempted|0.0|0.0
100003001|58250036|Attempted|0.0|0.0
100003001|58250041|Attempted|0.0|0.0
100003001|58250042|Attempted|0.0|0.0
100003001|58250050|Attempted|2.5|-1.5
100003001|59750002|Attempted|0.0|0.0
100003001|59750003|Attempted|1.25|-0.75
100003001|59750004|Attempted|0.0|0.0
100003001|62500001|Attempted|30.0|-102.0
100003001|63000001|Attempted|3000.0|-48.0
100003001|63500002|Attempted|33.5|-106.5
100003001|65500001|Attempted|19.25|-2.75
100003001|65500002|Attempted|16.5|-15.5
100003001|66000001|Attempted|4.75|-1.25
100003001|66000003|Attempted|12.75|2.75
100003001|66500001|Attempted|164.5|-147.5
100003001|66500002|Attempted|420.0|-416.0
100003001|66500003|Attempted|136.5|-87.5
100003001|66500004|Attempted|1587.0|-665.0
100003001|66500005|Attempted|35.75|-30.25
100003001|66500006|Attempted|11.0|-21.0
100003001|66500007|Attempted|16.25|-13.75
100003001|66500008|Attempted|13.75|-8.25
100003001|66500011|Attempted|85.75|-52.25
100003001|67000001|Attempted|2.5|-1.5
100003001|67500001|Attempted|1.75|-4.25
100003001|67500003|Attempted|2.5|-5.5
100003001|67500004|Attempted|1.0|-3.0
100003001|67500005|Attempted|-21.25|-83.25
100003001|69500002|Attempted|20938.5|-13533.5
100003001|69500003|Attempted|1578.75|-1995.25
100003001|69500005|Attempted|3618.25|-3615.75
100003001|69500006|Attempted|7184.25|-3609.75
100003001|71500001|Attempted|2.75|-15.25
100003001|71500002|Attempted|2.5|-1.5
100003001|71500003|Attempted|7.5|-40.5
100003001|72500001|Attempted|923.0|-309.0
100003001|72750001|Attempted|8.75|2.75
100003001|77750001|Attempted|23.25|-50.75
100003001|82000001|Attempted|45.5|1.5
100003001|8500001|Attempted|348828.75|-186309.25
100003001|8500002|Attempted|4726.25|-523.75
100003001|8500003|Attempted|25187.75|-16230.25
100003001|86250001|Attempted|-1.5|-37.5
100003001|8750049|Attempted|20.75|-9.25
100003001|8750050|Attempted|3000.0|-48.0
100003001|9000035|Attempted|75.75|-54.25
100003001|9000038|Attempted|23.0|-9.0
100003001|9000040|Attempted|182.25|-87.75
100003001|9000044|Attempted|56.5|-127.5
100003001|9250049|Attempted|-144.25|-314.25
100003001|93500001|Attempted|39.5|-4.5
100003001|94250002|Attempted|2.25|-3.75
100003001|94250004|Attempted|20.75|-9.25
100003001|94250005|Attempted|16.5|-15.5
100003001|94250006|Attempted|19.25|-2.75
100003001|94250007|Attempted|48.5|0.5
100003001|94250008|Attempted|45.5|1.5
100003001|94250009|Attempted|26.0|2.0
100003001|94250010|Attempted|12.5|4.5
100003001|9500038|Attempted|16.75|-13.25
100003001|9500040|Attempted|69.0|-23.0
100003001|9500047|Attempted|235.5|-72.5
100003001|9500050|Attempted|28.25|-9.75
100003001|9750044|Attempted|26222.75|-19267.25
100003001|9750045|Attempted|48.5|0.5
100003001|10500001|Callable|137.75|-84.25
100003001|10500002|Callable|1097.5|-618.5
100003001|10500004|Callable|1053.5|-590.5
100003001|10500005|Callable|360.0|-316.0
100003001|10500006|Callable|22.5|-25.5
100003001|10500007|Callable|373.75|-396.25
100003001|10500008|Callable|158.75|-67.25
100003001|10500023|Callable|47.0|-21.0
100003001|10500024|Callable|33.25|-12.75
100003001|125500001|Callable|3.75|-6.25
100003001|134500001|Callable|12.75|-5.25
100003001|13750020|Callable|12.25|-1.75
100003001|13750045|Callable|48.25|-9.75
100003001|13750046|Callable|25.75|-0.25
100003001|13750049|Callable|12.75|-9.25
100003001|13750050|Callable|15.0|-1.0
100003001|13750054|Callable|5.75|-4.25
100003001|13750055|Callable|52.5|-55.5
100003001|13750057|Callable|21.5|1.5
100003001|13750059|Callable|3.0|-1.0
100003001|13750063|Callable|11.0|-1.0
100003001|13750065|Callable|9.75|-4.25
100003001|16250001|Callable|83.25|-6.75
100003001|17000001|Callable|28.0|28.0
100003001|180000001|Callable|110.75|40.75
100003001|180000002|Callable|33.25|-16.75
100003001|18750001|Callable|186.75|-391.25
100003001|190250001|Callable|12.75|-5.25
100003001|22500001|Callable|3208.0|112.0
100003001|238250001|Callable|98.75|-79.25
100003001|248750005|Callable|5180.5|-3991.5
100003001|280000001|Callable|66.0|-42.0
100003001|280000002|Callable|9.5|-10.5
100003001|28000001|Callable|5.25|-4.75
100003001|28500001|Callable|19160.75|-14109.25
100003001|28500002|Callable|426.25|-243.75
100003001|28500003|Callable|175.75|-106.25
100003001|28500004|Callable|1536.75|-585.25
100003001|28750001|Callable|151.5|-128.5
100003001|28750002|Callable|277.25|-208.75
100003001|28750011|Callable|18.25|4.25
100003001|28750012|Callable|20.75|2.75
100003001|28750013|Callable|21.25|-0.75
100003001|28750014|Callable|36.25|-13.75
100003001|28750015|Callable|79.75|9.75
100003001|29000001|Callable|148.0|-92.0
100003001|29250001|Callable|456.75|-113.25
100003001|29250003|Callable|245.75|-236.25
100003001|29500001|Callable|327.25|-258.75
100003001|29750001|Callable|769.5|-506.5
100003001|29750002|Callable|113.0|-155.0
100003001|315250001|Callable|122.5|-37.5
100003001|32250001|Callable|15.75|-6.25
100003001|32250003|Callable|194.0|-86.0
100003001|33750004|Callable|73.0|-375.0
100003001|352000002|Callable|2.75|0.75
100003001|352000004|Callable|0.75|-1.25
100003001|352000006|Callable|12.25|-5.75
100003001|35750001|Callable|13.75|-4.25
100003001|35750003|Callable|194.5|-81.5
100003001|37500002|Callable|7.0|-9.0
100003001|38750001|Callable|2213.25|-184.75
100003001|38750002|Callable|2213.25|-184.75
100003001|38750003|Callable|2801.75|-88.25
100003001|423000001|Callable|79.0|-25.0
100003001|42500002|Callable|3.5|-4.5
100003001|48750001|Callable|3.25|-30.75
100003001|50000001|Callable|23.25|9.25
100003001|50000003|Callable|32.5|-59.5
100003001|50000004|Callable|32.25|-21.75
100003001|50250001|Callable|1.25|-0.75
100003001|50250002|Callable|25.75|-12.25
100003001|50750001|Callable|12.0|-12.0
100003001|51000002|Callable|10.5|-9.5
100003001|53750005|Callable|86.5|10.5
100003001|53750007|Callable|4.25|-9.75
100003001|53750015|Callable|29.5|-34.5
100003001|53750017|Callable|98.25|68.25
100003001|54000005|Callable|36.5|-7.5
100003001|54000006|Callable|308.25|10.25
100003001|54250004|Callable|369.25|207.25
100003001|54250006|Callable|56.75|6.75
100003001|54500007|Callable|2.5|-1.5
100003001|54750006|Callable|29.5|1.5
100003001|55000001|Callable|-28.0|-100.0
100003001|55000002|Callable|110.25|8.25
100003001|57250012|Callable|3235.5|111.5
100003001|57250016|Callable|4.75|-5.25
100003001|57250021|Callable|19.0|-9.0
100003001|58250001|Callable|5.5|-6.5
100003001|58250002|Callable|6.5|-1.5
100003001|58250023|Callable|2.0|-2.0
100003001|58250027|Callable|29.75|-0.25
100003001|58250035|Callable|28.0|-20.0
100003001|58250036|Callable|53.0|-11.0
100003001|58250041|Callable|2.75|0.75
100003001|58250042|Callable|38.5|-5.5
100003001|58250050|Callable|65.25|23.25
100003001|59750002|Callable|1.25|-0.75
100003001|59750003|Callable|1.75|-0.25
100003001|59750004|Callable|5.75|-4.25
100003001|62500001|Callable|3161.5|93.5
100003001|63000001|Callable|2801.75|-88.25
100003001|63500002|Callable|3161.0|157.0
100003001|65500001|Callable|89.25|-12.75
100003001|65500002|Callable|104.0|-12.0
100003001|66000001|Callable|5.5|-2.5
100003001|66000003|Callable|15.25|1.25
100003001|66500001|Callable|154.25|-135.75
100003001|66500002|Callable|385.75|-384.25
100003001|66500003|Callable|133.5|-86.5
100003001|66500004|Callable|1535.75|-582.25
100003001|66500005|Callable|29.5|-26.5
100003001|66500006|Callable|7.75|-18.25
100003001|66500007|Callable|17.0|-15.0
100003001|66500008|Callable|13.25|-8.75
100003001|66500011|Callable|91.75|-66.25
100003001|67000001|Callable|7.5|3.5
100003001|67500001|Callable|1.75|-4.25
100003001|67500003|Callable|2.5|-5.5
100003001|67500004|Callable|1.0|-3.0
100003001|67500005|Callable|-24.5|-92.5
100003001|69000001|Callable|8.5|-3.5
100003001|69000002|Callable|5.75|-4.25
100003001|69500002|Callable|14318.75|-8927.25
100003001|69500003|Callable|1296.5|-1687.5
100003001|69500005|Callable|3425.5|-3362.5
100003001|69500006|Callable|7443.25|-3822.75
100003001|70000001|Callable|131.25|-58.75
100003001|71500001|Callable|3.5|-16.5
100003001|71500002|Callable|128.0|36.0
100003001|71500003|Callable|165.0|-87.0
100003001|72250002|Callable|133.0|-59.0
100003001|72500001|Callable|929.25|-316.75
100003001|72750001|Callable|109.5|-6.5
100003001|77750001|Callable|18.75|-59.25
100003001|82000001|Callable|52.25|-5.75
100003001|8500001|Callable|485079.0|-259005.0
100003001|8500002|Callable|6130.5|-1177.5
100003001|8500003|Callable|21536.5|-11163.5
100003001|86250001|Callable|147.0|-53.0
100003001|8750049|Callable|146.25|12.25
100003001|8750050|Callable|2801.75|-88.25
100003001|9000035|Callable|75.75|-54.25
100003001|9000038|Callable|81.5|-46.5
100003001|9000040|Callable|162.25|-75.75
100003001|9000044|Callable|3206.75|112.75
100003001|9250049|Callable|163.75|-386.25
100003001|93500001|Callable|42.25|-7.75
100003001|94250002|Callable|1.5|-2.5
100003001|94250004|Callable|146.25|12.25
100003001|94250005|Callable|104.0|-12.0
100003001|94250006|Callable|89.25|-12.75
100003001|94250007|Callable|55.5|-8.5
100003001|94250008|Callable|52.25|-5.75
100003001|94250009|Callable|40.25|-9.75
100003001|94250010|Callable|13.0|5.0
