metric_id|entity|dims|upper_range|lower_range
100003001|9500038|Callable|29.75|-36.25
100003001|9500040|Callable|197.5|29.5
100003001|9500047|Callable|181.25|-68.75
100003001|9500050|Callable|181.25|-32.75
100003001|9750044|Callable|19127.75|-14090.25
100003001|9750045|Callable|55.5|-8.5
100003001|10500001|Enrolled|15.75|-6.25
100003001|10500002|Enrolled|319.25|-170.75
100003001|10500004|Enrolled|313.25|-168.75
100003001|10500005|Enrolled|77.75|-36.25
100003001|10500006|Enrolled|16.75|-9.25
100003001|10500007|Enrolled|65.0|-47.0
100003001|10500008|Enrolled|14.5|-5.5
100003001|10500023|Enrolled|4.5|-3.5
100003001|10500024|Enrolled|3.75|-2.25
100003001|134500001|Enrolled|1.25|-0.75
100003001|13750020|Enrolled|4.25|-1.75
100003001|13750045|Enrolled|13.0|1.0
100003001|13750046|Enrolled|12.25|-1.75
100003001|13750049|Enrolled|2.0|-2.0
100003001|13750050|Enrolled|5.5|-2.5
100003001|13750054|Enrolled|3.0|-1.0
100003001|13750055|Enrolled|18.75|-3.25
100003001|13750057|Enrolled|8.25|-1.75
100003001|13750059|Enrolled|1.25|-0.75
100003001|13750063|Enrolled|4.5|-3.5
100003001|13750065|Enrolled|6.75|-3.25
100003001|16250001|Enrolled|11.25|-2.75
100003001|17000001|Enrolled|27.0|27.0
100003001|180000001|Enrolled|1.25|-0.75
100003001|180000002|Enrolled|0.0|0.0
100003001|18750001|Enrolled|25.5|-30.5
100003001|190250001|Enrolled|1.25|-0.75
100003001|22500001|Enrolled|52.75|-13.25
100003001|238250001|Enrolled|4.25|-1.75
100003001|248750005|Enrolled|522.75|-307.25
100003001|280000001|Enrolled|12.25|-1.75
100003001|280000002|Enrolled|1.25|-0.75
100003001|28000001|Enrolled|0.0|0.0
100003001|28500001|Enrolled|3065.5|-1798.5
100003001|28500002|Enrolled|78.5|-41.5
100003001|28500003|Enrolled|8.75|-5.25
100003001|28500004|Enrolled|81.25|-0.75
100003001|28750001|Enrolled|57.5|5.5
100003001|28750002|Enrolled|14.0|-6.0
100003001|28750011|Enrolled|3.75|-2.25
100003001|28750012|Enrolled|2.5|-1.5
100003001|28750013|Enrolled|6.25|0.25
100003001|28750014|Enrolled|3.75|-2.25
100003001|28750015|Enrolled|13.75|-4.25
100003001|29000001|Enrolled|17.5|-10.5
100003001|29250001|Enrolled|19.5|-0.5
100003001|29250003|Enrolled|34.25|-19.75
100003001|29500001|Enrolled|59.25|-42.75
100003001|29750001|Enrolled|119.0|-57.0
100003001|29750002|Enrolled|36.5|-27.5
100003001|315250001|Enrolled|7.5|-0.5
100003001|32250001|Enrolled|0.0|0.0
100003001|32250003|Enrolled|18.5|-5.5
100003001|33750004|Enrolled|42.25|-43.75
100003001|352000002|Enrolled|3.5|-0.5
100003001|352000004|Enrolled|0.0|0.0
100003001|352000006|Enrolled|10.75|-3.25
100003001|35750001|Enrolled|0.0|0.0
100003001|35750003|Enrolled|16.5|-3.5
100003001|37500002|Enrolled|1.75|-0.25
100003001|38750001|Enrolled|1607.25|477.25
100003001|38750002|Enrolled|1607.25|477.25
100003001|38750003|Enrolled|1649.25|499.25
100003001|423000001|Enrolled|88.0|-44.0
100003001|42500002|Enrolled|2.5|-1.5
100003001|48750001|Enrolled|3.0|-1.0
100003001|50000001|Enrolled|6.0|-2.0
100003001|50000003|Enrolled|9.5|-6.5
100003001|50000004|Enrolled|0.0|0.0
100003001|50250001|Enrolled|0.0|0.0
100003001|50250002|Enrolled|0.0|0.0
100003001|50750001|Enrolled|6.25|-7.75
100003001|51000002|Enrolled|1.75|-0.25
100003001|53750005|Enrolled|0.0|0.0
100003001|53750007|Enrolled|2.0|-2.0
100003001|53750015|Enrolled|0.0|0.0
100003001|53750017|Enrolled|1.25|-0.75
100003001|54000005|Enrolled|0.0|0.0
100003001|54000006|Enrolled|2.0|-2.0
100003001|54250004|Enrolled|7.5|-4.5
100003001|54250006|Enrolled|1.25|-0.75
100003001|54750006|Enrolled|0.0|0.0
100003001|55000001|Enrolled|-2.0|-14.0
100003001|55000002|Enrolled|161.25|-20.75
100003001|57250012|Enrolled|45.5|-6.5
100003001|57250016|Enrolled|2.5|-1.5
100003001|57250021|Enrolled|13.75|-4.25
100003001|58250001|Enrolled|0.0|0.0
100003001|58250023|Enrolled|0.0|0.0
100003001|58250027|Enrolled|0.0|0.0
100003001|58250035|Enrolled|0.0|0.0
100003001|58250036|Enrolled|0.0|0.0
100003001|58250041|Enrolled|0.0|0.0
100003001|58250050|Enrolled|2.5|-1.5
100003001|59750002|Enrolled|0.0|0.0
100003001|59750003|Enrolled|1.25|-0.75
100003001|59750004|Enrolled|0.0|0.0
100003001|62500001|Enrolled|52.5|-11.5
100003001|63000001|Enrolled|1649.25|499.25
100003001|63500002|Enrolled|51.5|-12.5
100003001|65500001|Enrolled|5.5|-2.5
100003001|65500002|Enrolled|10.25|0.25
100003001|66000001|Enrolled|1.25|-0.75
100003001|66000003|Enrolled|2.75|0.75
100003001|66500001|Enrolled|18.0|-10.0
100003001|66500002|Enrolled|55.25|-34.75
100003001|66500003|Enrolled|21.25|-12.75
100003001|66500004|Enrolled|81.75|-0.25
100003001|66500005|Enrolled|6.25|-3.75
100003001|66500006|Enrolled|9.25|-8.75
100003001|66500007|Enrolled|1.75|-0.25
100003001|66500008|Enrolled|2.0|-2.0
100003001|66500011|Enrolled|18.25|-3.75
100003001|67000001|Enrolled|1.25|-0.75
100003001|67500001|Enrolled|0.75|-1.25
100003001|67500003|Enrolled|0.0|0.0
100003001|67500004|Enrolled|0.0|0.0
100003001|67500005|Enrolled|0.5|-15.5
100003001|69500002|Enrolled|1866.75|-1043.25
100003001|69500003|Enrolled|334.25|-203.75
100003001|69500005|Enrolled|609.5|-390.5
100003001|69500006|Enrolled|507.75|-174.25
100003001|71500001|Enrolled|12.5|0.5
100003001|71500002|Enrolled|1.25|-0.75
100003001|71500003|Enrolled|20.75|-5.25
100003001|72500001|Enrolled|136.5|64.5
100003001|72750001|Enrolled|6.25|0.25
100003001|77750001|Enrolled|7.0|-5.0
100003001|82000001|Enrolled|6.0|2.0
100003001|8500001|Enrolled|40000.0|-18528.0
100003001|8500002|Enrolled|1661.0|1413.0
100003001|8500003|Enrolled|3143.5|-1608.5
100003001|86250001|Enrolled|13.5|-2.5
100003001|8750049|Enrolled|17.0|-3.0
100003001|8750050|Enrolled|1649.25|499.25
100003001|9000035|Enrolled|27.25|-14.75
100003001|9000038|Enrolled|13.5|-2.5
100003001|9000040|Enrolled|73.75|-20.25
100003001|9000044|Enrolled|60.25|-17.75
100003001|9250049|Enrolled|35.25|-34.75
100003001|93500001|Enrolled|55.0|-9.0
100003001|94250002|Enrolled|0.0|0.0
100003001|94250004|Enrolled|17.0|-3.0
100003001|94250005|Enrolled|10.25|0.25
100003001|94250006|Enrolled|5.5|-2.5
100003001|94250007|Enrolled|7.25|1.25
100003001|94250008|Enrolled|6.0|2.0
100003001|94250009|Enrolled|3.25|1.25
100003001|94250010|Enrolled|3.5|-0.5
100003001|9500038|Enrolled|5.5|-6.5
100003001|9500040|Enrolled|15.0|7.0
100003001|9500047|Enrolled|476.75|-109.25
100003001|9500050|Enrolled|22.25|-7.75
100003001|9750044|Enrolled|3063.0|-1797.0
100003001|9750045|Enrolled|7.25|1.25
100003001|10500001|Targeted|116.5|-103.5
100003001|10500002|Targeted|1428.75|-1113.25
100003001|10500004|Targeted|1389.0|-1087.0
100003001|10500005|Targeted|402.75|-383.25
100003001|10500006|Targeted|3.0|-17.0
100003001|10500007|Targeted|848.75|-1121.25
100003001|10500008|Targeted|52.25|-41.75
100003001|10500023|Targeted|40.75|-45.25
100003001|10500024|Targeted|20.75|-29.25
100003001|125500001|Targeted|1.25|-8.75
100003001|134500001|Targeted|11.5|-4.5
100003001|13750020|Targeted|12.25|-1.75
100003001|13750045|Targeted|48.5|-7.5
100003001|13750046|Targeted|25.75|-0.25
100003001|13750049|Targeted|11.25|-6.75
100003001|13750050|Targeted|13.75|-0.25
100003001|13750054|Targeted|5.75|-4.25
100003001|13750055|Targeted|53.5|-58.5
100003001|13750057|Targeted|22.0|2.0
100003001|13750059|Targeted|3.0|-1.0
100003001|13750063|Targeted|11.0|-1.0
100003001|13750065|Targeted|9.75|-4.25
100003001|16250001|Targeted|90.0|-10.0
100003001|17000001|Targeted|1019.0|1019.0
100003001|180000001|Targeted|126.75|36.75
100003001|180000002|Targeted|32.25|-17.75
100003001|18750001|Targeted|191.75|-394.25
100003001|190250001|Targeted|11.5|-4.5
100003001|22500001|Targeted|4236.25|-65.75
100003001|238250001|Targeted|124.5|-111.5
100003001|248750005|Targeted|5239.25|-4034.75
100003001|280000001|Targeted|72.5|-47.5
100003001|280000002|Targeted|7.25|-10.75
100003001|28000001|Targeted|15.5|-12.5
100003001|28500001|Targeted|25655.5|-22920.5
100003001|28500002|Targeted|562.75|-439.25
100003001|28500003|Targeted|199.25|-138.75
100003001|28500004|Targeted|1953.25|-1204.75
100003001|28750001|Targeted|143.75|-126.25
100003001|28750002|Targeted|232.0|-184.0
100003001|28750011|Targeted|32.75|6.75
100003001|28750012|Targeted|23.0|-1.0
100003001|28750013|Targeted|16.25|2.25
100003001|28750014|Targeted|35.5|-12.5
100003001|28750015|Targeted|86.5|6.5
100003001|29000001|Targeted|128.5|-91.5
100003001|29250001|Targeted|511.25|-358.75
100003001|29250003|Targeted|247.75|-242.25
100003001|29500001|Targeted|189.25|-200.75
100003001|29750001|Targeted|885.0|-615.0
100003001|29750002|Targeted|114.0|-166.0
100003001|315250001|Targeted|113.25|-92.75
100003001|32250001|Targeted|18.25|-7.75
100003001|32250003|Targeted|201.25|-92.75
100003001|33750004|Targeted|80.0|-380.0
100003001|352000002|Targeted|3.5|-0.5
100003001|352000004|Targeted|0.75|-1.25
100003001|352000006|Targeted|13.5|-6.5
100003001|35750001|Targeted|16.25|-5.75
100003001|35750003|Targeted|201.75|-88.25
100003001|37500002|Targeted|7.0|-9.0
100003001|38750001|Targeted|2144.0|-480.0
100003001|38750002|Targeted|2144.0|-480.0
100003001|38750003|Targeted|2401.75|27.75
100003001|423000001|Targeted|83.0|-29.0
100003001|42500002|Targeted|38.75|-11.25
100003001|48750001|Targeted|4.0|-32.0
100003001|50000001|Targeted|53.75|11.75
100003001|50000003|Targeted|58.0|-90.0
100003001|50000004|Targeted|31.5|-20.5
100003001|50250001|Targeted|4.25|-5.75
100003001|50250002|Targeted|30.25|-11.75
100003001|50750001|Targeted|6.25|-7.75
100003001|51000002|Targeted|16.25|-25.75
100003001|53750005|Targeted|85.0|13.0
100003001|53750007|Targeted|3.5|-8.5
100003001|53750015|Targeted|29.5|-34.5
100003001|53750017|Targeted|97.0|69.0
100003001|54000005|Targeted|32.75|-5.25
100003001|54000006|Targeted|302.75|20.75
100003001|54250004|Targeted|586.0|210.0
100003001|54250006|Targeted|62.25|4.25
100003001|54500007|Targeted|6.25|-7.75
100003001|54750006|Targeted|36.0|-8.0
100003001|55000001|Targeted|-26.0|-106.0
100003001|55000002|Targeted|101.25|11.25
100003001|57250012|Targeted|4275.0|-77.0
100003001|57250016|Targeted|4.5|-7.5
100003001|57250021|Targeted|36.25|-21.75
100003001|58250001|Targeted|6.75|-7.25
100003001|58250002|Targeted|7.25|-2.75
100003001|58250023|Targeted|5.25|-4.75
100003001|58250027|Targeted|28.5|0.5
100003001|58250035|Targeted|30.5|-21.5
100003001|58250036|Targeted|51.75|-10.25
100003001|58250041|Targeted|6.5|-1.5
100003001|58250042|Targeted|42.25|-3.75
100003001|58250050|Targeted|65.5|25.5
100003001|59750002|Targeted|2.75|-3.25
100003001|59750003|Targeted|9.75|-0.25
100003001|59750004|Targeted|28.75|-5.25
100003001|62500001|Targeted|4188.75|-105.25
100003001|63000001|Targeted|2401.75|27.75
100003001|63500002|Targeted|4185.5|-18.5
100003001|65500001|Targeted|97.5|-10.5
100003001|65500002|Targeted|132.75|10.75
100003001|66000001|Targeted|8.5|-3.5
100003001|66000003|Targeted|17.75|3.75
100003001|66500001|Targeted|161.25|-152.75
100003001|66500002|Targeted|308.0|-376.0
100003001|66500003|Targeted|131.0|-93.0
100003001|66500004|Targeted|1957.0|-1207.0
100003001|66500005|Targeted|39.0|-41.0
100003001|66500006|Targeted|7.25|-18.75
100003001|66500007|Targeted|20.25|-17.75
100003001|66500008|Targeted|16.5|-15.5
100003001|66500011|Targeted|89.75|-96.25
100003001|67000001|Targeted|10.25|0.25
100003001|67500001|Targeted|1.75|-4.25
100003001|67500003|Targeted|2.5|-5.5
100003001|67500004|Targeted|1.0|-3.0
100003001|67500005|Targeted|-23.75|-97.75
100003001|69000001|Targeted|21.75|-12.25
100003001|69000002|Targeted|5.75|-4.25
100003001|69500002|Targeted|18453.75|-14668.25
100003001|69500003|Targeted|2492.75|-3237.25
100003001|69500005|Targeted|4489.5|-4702.5
100003001|69500006|Targeted|8210.75|-4707.25
100003001|70000001|Targeted|47.0|-17.0
100003001|71500001|Targeted|-0.25|-14.25
100003001|71500002|Targeted|124.25|46.25
100003001|71500003|Targeted|219.75|-74.25
100003001|72250002|Targeted|46.25|-15.75
100003001|72500001|Targeted|329.25|15.25
100003001|72750001|Targeted|97.75|-28.25
100003001|77750001|Targeted|21.0|-79.0
100003001|82000001|Targeted|63.0|7.0
100003001|8500001|Targeted|534869.75|-287492.25
100003001|8500002|Targeted|4455.75|313.75
100003001|8500003|Targeted|27553.5|-17454.5
100003001|86250001|Targeted|127.0|-37.0
100003001|8750049|Targeted|182.0|42.0
100003001|8750050|Targeted|2401.75|27.75
100003001|9000035|Targeted|157.5|-114.5
100003001|9000038|Targeted|97.25|-64.75
100003001|9000040|Targeted|164.25|-77.75
100003001|9000044|Targeted|4237.25|-64.75
100003001|9250049|Targeted|170.0|-390.0
100003001|93500001|Targeted|47.5|-12.5
100003001|94250002|Targeted|1.5|-2.5
100003001|94250004|Targeted|182.25|40.25
100003001|94250005|Targeted|132.25|10.25
100003001|94250006|Targeted|99.5|-12.5
100003001|94250007|Targeted|63.25|9.25
100003001|94250008|Targeted|63.0|7.0
100003001|94250009|Targeted|45.75|-0.25
100003001|94250010|Targeted|20.75|2.75
100003001|9500038|Targeted|39.0|-41.0
100003001|9500040|Targeted|193.75|7.75
100003001|9500047|Targeted|205.0|-179.0
100003001|9500050|Targeted|177.75|-72.25
100003001|9750044|Targeted|25584.0|-22868.0
100003001|9750045|Targeted|63.25|9.25
